driverId,week,hours-logged,miles-logged
66,28,67,300
66,35,62,3300
21,46,54,0
65,30,64,700
87,51,51,400
72,12,68,2400
59,32,80,1700
20,46,52,2300
68,8,58,1400
30,39,72,2700
19,26,53,1200
39,37,51,2200
92,7,70,500
38,28,73,1000
36,9,77,2600
31,39,75,600
72,10,69,400
46,50,50,300
51,19,72,400
54,51,52,0
42,50,76,2400
87,17,52,2700
25,38,67,400
55,11,70,3200
43,48,66,3500
83,8,58,1600
64,11,66,3000
76,50,72,1200
18,16,52,200
21,10,58,500
12,6,63,1700
24,45,58,1800
92,51,63,2800
36,20,59,100
61,11,69,2300
41,37,58,3600
31,44,60,2800
59,46,67,0
56,15,66,3600
24,30,56,3500
45,13,67,3900
99,43,68,1100
103,46,62,2700
54,4,53,3000
78,10,55,1200
58,24,60,100
98,45,51,2200
86,3,79,3700
55,4,55,3800
23,29,52,1400
38,23,75,2500
15,28,77,500
53,25,56,2500
98,35,70,2800
11,43,62,800
83,4,76,3900
39,49,61,3400
47,1,70,2600
83,46,71,1700
80,23,64,1200
66,37,78,500
101,44,61,2600
46,37,63,600
54,39,74,1800
25,25,51,500
23,11,71,3900
51,29,72,3600
21,42,53,3000
16,24,58,1300
47,40,62,600
93,6,52,1600
22,40,76,3600
89,24,77,1300
51,42,72,2700
75,42,59,3100
74,8,74,3900
77,21,56,3500
104,26,62,2900
83,48,61,2900
20,41,76,1300
79,34,53,2300
37,37,64,3600
20,28,56,2300
25,14,78,1400
74,23,78,600
66,10,71,3100
35,38,77,100
96,43,80,500
44,50,56,2200
73,1,63,3000
72,34,56,600
103,23,74,4000
27,6,57,300
78,14,78,1800
27,36,70,2100
59,46,78,2400
96,40,57,400
16,5,70,1100
36,29,53,1700
51,36,74,3200
98,8,50,2700
53,16,54,2000
88,3,79,1200
92,32,65,3700
31,52,53,1600
10,32,61,1700
55,41,54,1600
23,16,60,700
92,50,69,3300
62,23,57,2200
43,37,62,3500
76,52,70,1100
87,38,58,3700
101,37,50,1500
24,30,72,2300
63,52,76,300
17,35,79,2100
81,8,79,2300
16,42,70,1600
48,1,57,2000
108,19,76,3000
100,23,80,200
79,5,58,1600
55,5,54,200
22,5,70,3900
94,28,70,3300
49,33,78,900
106,42,70,300
65,39,77,100
64,30,66,3800
100,47,52,500
33,28,75,600
100,9,62,3700
48,28,50,300
31,9,53,500
90,43,59,2300
81,50,79,400
56,44,56,2500
100,1,77,900
36,22,76,1900
71,22,56,1600
70,17,52,1300
51,5,61,2500
20,30,64,200
44,24,64,600
13,50,55,900
78,44,57,200
92,29,50,2800
65,34,77,2900
105,39,55,2000
17,46,66,1800
29,28,51,400
22,13,72,3500
92,5,59,300
104,29,67,3100
32,13,51,200
48,35,72,3900
88,33,59,300
82,47,56,2000
49,15,73,600
25,6,74,100
54,51,64,0
91,45,71,3000
48,8,51,2900
99,12,66,3600
82,16,74,1400
90,43,70,1500
23,26,75,100
28,22,68,3700
44,34,66,3300
68,32,63,100
84,24,65,4000
25,34,60,1800
18,26,52,1400
63,33,59,1000
47,10,77,3600
87,18,51,1500
41,17,67,3500
105,44,66,2400
97,45,54,1200
47,24,78,4000
50,19,59,2300
75,22,61,1100
74,49,60,0
27,37,79,3200
71,40,61,700
72,14,77,300
78,47,64,2300
60,47,59,1200
85,33,70,2800
95,41,56,2700
13,27,72,800
104,11,54,4000
34,40,52,1100
35,36,64,2300
78,20,76,700
42,17,68,1600
85,24,53,200
90,4,80,3800
15,49,67,2800
28,16,68,1900
36,41,52,2000
24,49,80,2700
38,37,71,2200
30,40,52,300
56,15,50,500
50,51,73,300
109,45,62,3000
71,13,71,4000
20,19,79,700
20,12,63,2900
57,39,67,1800
35,39,62,900
97,12,61,4000
84,15,64,3600
87,37,73,3900
48,42,64,2800
12,37,55,3200
94,3,67,1600
51,11,73,1500
73,27,63,1000
108,19,60,1500
99,6,71,3000
56,26,60,3500
96,46,55,1600
10,6,75,1200
20,51,57,200
36,3,59,2300
